# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_DEVICE 0 GeForce GT 525M
# CUDA_CONTEXT 1
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 128a071cfd3ca85f
timestamp;gpustarttimestamp;gpuendtimestamp;method;gputime;cputime;gridsizeX;gridsizeY;threadblocksizeX;threadblocksizeY;threadblocksizeZ;dynsmemperblock;stasmemperblock;regperthread;occupancy;memtransfersize;memtransferdir;memtransferhostmemtype
1213352.500;128a9a87ade7cf20;128a9a87adea5e20;memcpyDtoH;167.680;576.434;;;;;;;;;;1000000;2;0
1318148.125;128a9a87b430bf80;128a9a87b4335c80;memcpyHtoD;171.264;190.719;;;;;;;;;;1000000;1;0
1319087.125;128a9a87b4385180;128a9a87b43ae4e0;memcpyHtoD;168.800;174.470;;;;;;;;;;1000000;1;0
1319598.500;128a9a87b43fe620;128a9a87b4427740;memcpyHtoD;168.224;160.358;;;;;;;;;;1000000;1;0
1320074.500;128a9a87b44714c0;128a9a87b449b840;memcpyHtoD;172.928;156.510;;;;;;;;;;1000000;1;0
1320565.000;128a9a87b44eb820;128a9a87b4515ba0;memcpyHtoD;172.928;170.621;;;;;;;;;;1000000;1;0
1321043.125;128a9a87b4559d20;128a9a87b4584100;memcpyHtoD;173.024;150.523;;;;;;;;;;1000000;1;0
1321490.750;128a9a87b45cb120;128a9a87b45f5540;memcpyHtoD;173.088;166.345;;;;;;;;;;1000000;1;0
1321967.500;128a9a87b461b900;128a9a87b461cba0;_Z20InitializationKernelv;4.768;11.546;1;1;1;1;1;0;0;11;0.021
1322135.625;128a9a87b463fc60;128a9a87b4667700;_Z17BoundingBoxKernelv;162.464;4.704;6;1;512;1;1;0;12288;20;1.000
1322435.750;128a9a87b468aaa0;128a9a87b601ce60;_Z18TreeBuildingKernelv;26813.377;4.276;2;1;1024;1;1;0;0;30;0.667
1349398.625;128a9a87b6042da0;128a9a87b6b60e20;_Z19SummarizationKernelv;11657.344;5.987;2;1;1024;1;1;0;32768;22;0.667
1361204.000;128a9a87b6b838a0;128a9a87b7152fa0;_Z10SortKernelv;6092.544;5.559;2;1;256;1;1;0;0;14;0.333
1367437.875;128a9a87b7175520;128a9a87f555afe0;_Z22ForceCalculationKernelv;1044273.875;4.704;10;1;256;1;1;0;3072;23;0.833
2412151.250;128a9a87f55e27e0;128a9a87f5683a20;_Z17IntegrationKernelv;660.032;14.539;6;1;512;1;1;0;0;20;1.000
2413031.000;128a9a87f56ac640;128a9a87f56ad0c0;memcpyDtoH;2.688;99.208;;;;;;;;;;4;2;0
2413168.750;128a9a87f56be3c0;128a9a87f56e75a0;memcpyDtoH;168.416;428.477;;;;;;;;;;1000000;2;0
2413648.500;128a9a87f5738100;128a9a87f5761080;memcpyDtoH;167.808;525.975;;;;;;;;;;1000000;2;0
2414227.000;128a9a87f57c51a0;128a9a87f57ee080;memcpyDtoH;167.648;593.111;;;;;;;;;;1000000;2;0
2414897.500;128a9a87f586a040;128a9a87f5892f20;memcpyDtoH;167.648;377.162;;;;;;;;;;1000000;2;0
2415523.250;128a9a87f590aea0;128a9a87f5933d60;memcpyDtoH;167.616;375.024;;;;;;;;;;1000000;2;0
2416169.750;128a9a87f599f7a0;128a9a87f59c86a0;memcpyDtoH;167.680;402.392;;;;;;;;;;1000000;2;0
2521457.750;128a9a87fbe54340;128a9a87fbe7dfc0;memcpyHtoD;171.136;204.403;;;;;;;;;;1000000;1;0
2522039.000;128a9a87fbec3f60;128a9a87fbeee8c0;memcpyHtoD;174.432;175.753;;;;;;;;;;1000000;1;0
2522488.500;128a9a87fbf33660;128a9a87fbf5ebe0;memcpyHtoD;177.536;182.595;;;;;;;;;;1000000;1;0
2522941.250;128a9a87fbf9c400;128a9a87fbfc5540;memcpyHtoD;168.256;157.792;;;;;;;;;;1000000;1;0
2523359.500;128a9a87fc000da0;128a9a87fc029f00;memcpyHtoD;168.288;153.089;;;;;;;;;;1000000;1;0
2523816.750;128a9a87fc072d40;128a9a87fc09be80;memcpyHtoD;168.256;155.654;;;;;;;;;;1000000;1;0
2524271.250;128a9a87fc0df300;128a9a87fc108440;memcpyHtoD;168.256;151.806;;;;;;;;;;1000000;1;0
2524725.750;128a9a87fc12e100;128a9a87fc12ed40;_Z20InitializationKernelv;3.136;13.256;1;1;1;1;1;0;0;11;0.021
2524882.250;128a9a87fc14ed40;128a9a87fc176000;_Z17BoundingBoxKernelv;160.448;5.131;6;1;512;1;1;0;12288;20;1.000
2525173.250;128a9a87fc195d60;128a9a87fdaf7d00;_Z18TreeBuildingKernelv;26615.713;4.704;2;1;1024;1;1;0;0;30;0.667
2551909.250;128a9a87fdb61c60;128a9a87fe68f6c0;_Z19SummarizationKernelv;11721.312;8.125;2;1;1024;1;1;0;32768;22;0.667
2564136.750;128a9a87fe6caf40;128a9a87fecdc080;_Z10SortKernelv;6361.408;8.552;2;1;256;1;1;0;0;14;0.333
2570680.500;128a9a87fecf88c0;128a9a883d6be820;_Z22ForceCalculationKernelv;1050435.500;4.704;10;1;256;1;1;0;3072;23;0.833
3621308.250;128a9a883d724ec0;128a9a883d7c7540;_Z17IntegrationKernelv;665.216;44.900;6;1;512;1;1;0;0;20;1.000
3622295.750;128a9a883d7e7160;128a9a883d7e7940;memcpyDtoH;2.016;41.907;;;;;;;;;;4;2;0
3622486.750;128a9a883d81a4e0;128a9a883d8451c0;memcpyDtoH;175.328;415.221;;;;;;;;;;1000000;2;0
3622944.500;128a9a883d88b880;128a9a883d8b5e00;memcpyDtoH;173.440;419.497;;;;;;;;;;1000000;2;0
3623404.500;128a9a883d8fb840;128a9a883d927180;memcpyDtoH;178.496;426.339;;;;;;;;;;1000000;2;0
3623870.500;128a9a883d96d260;128a9a883d9977a0;memcpyDtoH;173.376;405.385;;;;;;;;;;1000000;2;0
3624443.250;128a9a883d9fac40;128a9a883da23b00;memcpyDtoH;167.616;416.076;;;;;;;;;;1000000;2;0
3624899.250;128a9a883da69300;128a9a883da921e0;memcpyDtoH;167.648;405.813;;;;;;;;;;1000000;2;0
